question,intent
What is the AIM-54C Phoenix ?,Definition
When are sheep shorn ?,Fact
What sport is Chris Jogis a top player of ?,Fact
What 's the second-largest island in the world ?,Fact
What is the definition of low island ?,Definition
What century does Captain Video live in ?,Fact
What types of water pollution are there ?,Fact
How many astronauts manned each Project Mercury flight ?,HowTo
What soft drink would provide me with the biggest intake of caffeine ?,Fact
What 's the name of a golf course in Myrtle Beach ?,Fact
What are some of the significant historical events of the 1990s ?,Fact
Name the only extant trilogy of classical Greek plays .,Fact
Where is Logan Airport ?,Fact
What is the difference between Neoclassical art and Romanticism art ?,Comparison
Who was the first person inducted into the U.S. Swimming Hall of Fame ?,Fact
What golfer has been called Ohio Fats and Blobbo ?,Fact
Who murdered Leno and Rosemary LaBianca on August 1,Fact
What is the average cost for four years of medical school ?,Fact
What does God create in the first sentence of the Bible ?,Fact
Which of the following men was not married to Rita Hayworth ?,Fact
What is the current ticket fare from from Cairo to Barbados ?,Fact
What does NN O `` mean when used as a prefix in Irish surnames ?,Definition
How do you find oxidation numbers ?,HowTo
What is the state nickname of Mississippi ?,Fact
"What is Black Hills , South Dakota most famous for ?",Definition
What 1966 boob tube bomb took astronauts back to prehistoric times ?,Fact
How many students attend the University of Massachusetts ?,HowTo
"Who said , `` I shall return . '' during World War Two ?",Fact
What holidays are celebrated in Ireland ?,Fact
"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",Fact
What are the Greek numerals ?,Definition
What 's the name of the temple that is located near the capital city of Laos ?,Fact
What is a fear of sleep ?,Fact
What auto race was Wilbur Reed the first to win three times ?,Fact
What are the most common breeding birds in the U.S. ?,Fact
"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",Fact
How do you look up criminal records on the Internet ?,HowTo
"Where is the actress , Marion Davies , buried ?",Fact
What is an example of an actual case of using the Fourteenth Amendment ?,Definition
Who was the Charlie perfume woman ?,Fact
Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,Fact
"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",Fact
When did Iraqi troops invade Kuwait ?,Fact
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',Fact
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,Fact
What was the backup singing group for Roy Rogers ?,Fact
What famous singing cowboy owns the California Angels baseball team ?,Fact
What 1915 film was the first to gross $5 million ?,Fact
Where did the term `` 86 '' come from ?,Fact
What causes someone to be ticklish ?,Definition
What is the probability that at least 2 out of 25 people will have the same birthday ?,Fact
How many Canadians emmigrate each year ?,HowTo
Why did several San Diego schools remove apples from students menus ?,Reason
What musical instrument did Sherlock Holmes play ?,Fact
Who was Gerald Ford 's vice president ?,Fact
What is `` the washed vodka '' ?,Definition
How many different languages are spoken in Europe ?,HowTo
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,Fact
What 's a `` Drinker respirator '' better known as ?,Fact
Who invented batteries ?,Fact
Why do recipe books recommend starting with cold water when you boil something ?,Reason
Where can I buy a good snowboard for less than $200 ?,Fact
What title did Suzette Charles assume for two months in 1984 ?,Fact
What was the infamous pseudonym of Peter Sutcliffe ?,Fact
What is Smokey The Bear 's middle name ?,Fact
What is Nicholas Cage 's occupation ?,Fact
What British TV series featured Emma Peel ?,Fact
What London street is the home of British journalism ?,Fact
What tragedy befell the city of Dogtown in 1899 ?,Fact
What is the Immaculate Conception ?,Definition
What are the names of all the U.S. Navy aircraft carriers ?,Fact
What format was VHS 's main competition ?,Fact
What is Candlemas Day ?,Definition
In what city is the famed St. Mark 's Square ?,Fact
What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,Fact
How much did the minimum wage amount to in 1991 ?,HowTo
Where is Tufts University ?,Fact
What is a pyrotechnic display ?,Definition
How do I find out about jobs ?,HowTo
What Japanese manufacturer is known for both its pianos and its motorcycles ?,Fact
What is the chemical reactivity of argon ?,Fact
How many engines does a Boeing 737 have ?,HowTo
What is the origin of the term `` The Brooklyn Side '' in bowling ?,Definition
What is a fear of being cold ?,Fact
How long was Mao 's 1930s Long March ?,HowTo
What net game sees its women 's world amateur champions receive the Uber Cup ?,Fact
What four-legged creature did a Cornell University study say would make man 's best companion in space ?,Fact
What does a teaspoon of matter weigh in a black hole ?,Fact
"What did British companies stick 175 , 0 tons of tea into in 1982 ?",Fact
What province is Edmonton located in ?,Fact
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,HowTo
Who did Sonny Liston succeed as world heavyweight boxing champion ?,Fact
What is California 's state bird ?,Fact
What is Martin Luther King Jr. 's real birthday ?,Fact
Name the various super-teams to which the Angel has belonged .,Fact
How does Zatanna perform her magic in DC comics ?,HowTo
What 's the name of Jacques Cousteau 's research ship ?,Fact
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,Fact
Whose video is titled Shape Up with Arnold ?,Fact
In which Kevin Costner movie did Sioux Indians play a role ?,Fact
How many James Bond novels are there ?,HowTo
How do you get dates with the `` Hooters '' girls ?,HowTo
What bird can swim but can 't fly ?,Fact
How can I get a comic character I made copyrighted and published ?,HowTo
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,HowTo
What is Plc ?,Definition
How much electricity does the brain need to work ?,HowTo
How many acres in a mile ?,HowTo
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,Fact
What is a hyperlink ?,Definition
Who 's the twin brother of the Greek goddess Artemis ?,Fact
Where did marijuana come from ?,Fact
"What is the per-capita income of Colombia , South America , ?",Fact
What novel has Big Brother watching ?,Fact
How many Grammys did Michael Jackson win in 1983 ?,HowTo
What does Elysium mean ?,Definition
What is the oldest website on the Internet ?,Fact
What is Shalom ?,Definition
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,Fact
What organic fuel do bog-dwellers use a `` slane '' to cut ?,Fact
What is the average age of a member of the team that worked on the Manhatten Project ?,Fact
What country received all the Nobel Prizes awarded in 1976 ?,Fact
How do you get rid on woodpeckers ?,HowTo
How many syllables are there in a line of hendecasyllabic poetry ?,HowTo
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",Fact
What is Britain 's possession on the Chinese mainland ?,Fact
Who was America 's first Public Enemy No. 1 ?,Fact
How many children under 18 are victims of some sort of Physical Abuse each year ?,HowTo
What is the origin of thank you notes ?,Definition
What did Jimmy Stewart invent ?,Fact
What generation am I in ?,Fact
What is a fear of hell ?,Fact
Who is Dear Abby ?,Fact
"Who lives at 24 Sussex Drive , Ottawa ?",Fact
What is Jell-O made from ?,Fact
Who was Monet ?,Fact
What are the only two states that incorporate the Confederate battle flag in their flags ?,Fact
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,HowTo
What 's the Southern dish made of pigs ' small intestines ?,Fact
Where is Guam ?,Fact
Who was the famous door-to-door brush salesman ?,Fact
What is the executor in a will ?,Definition
"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",Fact
How many people in America snore ?,HowTo
Who is always trying to get the rent from Andy Capp ?,Fact
What soft drink is most heavily caffeinated ?,Fact
Who did Jackie Kennedy commission to write The Death of a President ?,Fact
Which drug is commonly used to treat AIDS ?,Fact
How many stars are there on the Soviet Union 's flag ?,HowTo
What is the difference between microprocessors & microcontrollers ?,Comparison
Who sought to create The Great Society ?,Fact
What are tourist attractions in Reims ?,Fact
What are the lengths of pearl necklaces ?,Fact
Who said : `` Soldiers win the battles and generals get the credit '' ?,Fact
What is the proof that houseplants metabolize carcinogens ?,Definition
What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,Definition
How long does it take the typical hen to lay 19 dozen eggs ?,HowTo
What Colorado city owns its own glacier ?,Fact
What is the history of `` the toast '' ?,Definition
What was the name of the Protestant revolt against the supremacy of the Pope ?,Fact
What is an arab strap ?,Definition
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",HowTo
Who is the current UN Secretary General ?,Fact
"Who provides telephone service in Orange County , California ?",Fact
Where did guinea pigs originate ?,Fact
What two countries ' coastlines border the Bay of Biscay ?,Fact
Why did Egyptians shave their eyebrows ?,Reason
What organization did Mr. Waverly assign agents for ?,Fact
When was the slinky invented ?,Fact
What are the characters ' names in the Scooby-Doo cartoon ?,Fact
What is a fear of cold ?,Fact
What was Eduard Shevardnadze 's job in the Soviet Union ?,Fact
What causes rust ?,Definition
Which is the only Dick Tracy villain to appear three times ?,Fact
What was the monster in Spielberg 's film `` Jaws '' ?,Fact
What color is an Arctic fox in winter ?,Fact
"What do the names Neil , Mary , and Anthony mean ?",Definition
"What European capital celebrated its 2 , 000th anniversary in 1951 ?",Fact
Why do people in the upper peninsula of Michagin say `` eh ? '' ?,Reason
What flower did Vincent Van Gogh paint ?,Fact
What country was the setting of You Only Live Twice ?,Fact
What was Thatcher 's approval rating after 10 years in power ?,Fact
Winnie the Pooh is what kind of animal ?,Fact
"What was the first Funk 'N Lata , Brazilian group , success ?",Definition
What is a handheld PC ?,Definition
What did John Hinckley do to impress Jodie Foster ?,Definition
What is Larry King 's job ?,Fact
How many calories are in a tomato ?,HowTo
In what state was the first co-educational college established,Fact
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,Fact
What is the treatment for depression ?,Fact
What is a fear of slime ?,Fact
What country in Latin America is the largest one ?,Fact
On which Hawaiian island is Pearl Harbor ?,Fact
"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",Fact
What Marx Brothers movie centers on a stolen painting ?,Fact
What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,Definition
What is the origin of the word `` mind '' ?,Definition
When was Dick Clark born ?,Fact
What game is fatal to anybody over 21 ?,Fact
What is the death toll of people dying from tuberculosis ?,Fact
What happened to Moon Maiden ?,Definition
What city is wiener schnitzel named for ?,Fact
What are the Urals ?,Definition
How can you stop the itch from poison ivy ?,HowTo
What desert has the highest sand dunes ?,Fact
What two countries contain Sierra Nevada mountains ?,Fact
How do you tell your parents you are dating an older man ?,HowTo
How long was the TV mission of Star Trek 's Enterprise to be ?,HowTo
What phone number can I call to have a tree planted ?,Fact
When did the `` Star-Spangled Banner '' become the national anthem ?,Fact
Who was Lacan ?,Fact
What are the four natural aids used in riding a horse ?,Fact
What continent 's name appears on the upper left corner of a Budweiser label ?,Fact
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,Fact
Who did Bobby Fischer beat to win the world chess championship ?,Fact
How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,HowTo
Where can I get information and statistics on countries and nations ?,Fact
Name a Gaelic language .,Fact
"What day is August 13 , 1971 ?",Fact
Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,Fact
How do you send a movie transcript to Hollywood so that it can be produced into a film ?,HowTo
"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",Fact
What is the origin of blue for boys and pink for girls ?,Definition
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,Fact
How big is a quart ?,HowTo
What is the Hub of London ?,Definition
Jude Law acted in which film ?,Fact
What causes panic attacks ?,Definition
What was the filling in the first golf balls ?,Definition
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,Fact
What country was A Terrible Beauty to Leon Uris ?,Fact
What is typhoid fever ?,Definition
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,Fact
What are the Twin Cities ?,Definition
What is Beethoven 's 9th symphony called ?,Fact
Name the lawyer for Randy Craft .,Fact
Which breakfast cereal brought you `` the best each morning '' ?,Fact
"What does Ms. , Miss , and Mrs. stand for ?",Definition
What is the Homelite Inc. home page ?,Fact
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",Fact
What mountainous region of the world is the Lhasa Apso dog native to ?,Fact
What cancer is commonly associated with AIDS ?,Fact
How long does it take light to reach the Earth from the Sun ?,HowTo
Who lives at 39 Stone Canyon Way ?,Fact
How many questions are on this thing ?,HowTo
Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,Fact
"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",Fact
Who played the title role in I Was a Teenage Werewolf ?,Fact
Why are there olives in martinis ?,Reason
In what year did Hitler gain power of Germany ?,Fact
What year did Rossetti paint `` Beata Beatrix '' ?,Fact
What record company produced the 1978 movie The Wiz ?,Fact
Where can I find information about touring the Philippines ?,Fact
What did The Gas House Gang play ?,Fact
How many square feet is Bill Gates ' home ?,HowTo
"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",Fact
What is the highest Roman numeral ?,Definition
What 's the most popular form of bridge ?,Fact
Who was the inventor of the stove ?,Fact
What comedian has a legendary reputation for stealing jokes ?,Fact
Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,Fact
Boxing Day is celebrated on what date ?,Fact
What are the first ten amendements passed ?,Fact
What is another term for the painful wrist syndrome ?,Fact
What 's the difference between sleet and freezing rain ?,Comparison
How is the new Ford Econoline van F25 V1 engine ?,HowTo
Who was the king who was forced to agree to the Magna Carta ?,Fact
Who was made the first honorary citizen of the U.S. ?,Fact
What game is Garry Kasparov really good at ?,Fact
Where was Richard Nixon when Gerald Ford became president ?,Fact
Where does the U.S. rank among world countries in area ?,Fact
What novel did Ian Fleming introduce James Bond in ?,Fact
What was the target rate for M3 growth in 1992 ?,Fact
What baseball team was routinely called `` dem bums '' by its frustrated fans ?,Fact
Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,Fact
When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,Fact
What are the major differences in the Catholic and Methodist religions ?,Comparison
Name the On Stage character whose face was never seen .,Fact
How much energy is released when oxygen and hydrogen mix ?,HowTo
What is the best Internet business to go into ?,Fact
What does Venus Retrograde mean ?,Definition
Who is known as `` the world 's oldest teenager '' ?,Fact
What are the largest breweries in the world ?,Fact
What does Las Vegas mean ?,Definition
What does the word `` meta '' mean ?,Definition
What keeps clouds in the air ?,Fact
What 's the term for any four-sided figure ?,Fact
Ray Charles plays which instrument ?,Fact
What country and western singer is known as The Silver Fox ?,Fact
What building appropriately enough is depicted on the back of the 1-dollar bill ?,Fact
What is graduate school ?,Definition
What is the difference between New York-style and Chicago-style pizza ?,Comparison
What baseball team owner and sailor is known as The Mouth of the South ?,Fact
What type of betting is used in horse racing ?,Fact
What kind of hat does Bat Masterson wear ?,Fact
Who was with Patricia Hearst the night she was kidnaped ?,Fact
What is the Viking Prince 's first name ?,Fact
What does the abbreviation cwt. ?,Definition
In what deodorant commercial did tenants have adjoining medicine cabinets ?,Fact
Where is Rider College located ?,Fact
What boxer 's life story is titled Raging Bull ?,Fact
For what reason did some San Diego schools stop serving apples ?,Definition
Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,Fact
Where was the first restaurant ?,Fact
Where can I find full written draft of CTBT ?,Fact
How many horses died during the civil war ?,HowTo
How much waste does an average dairy cow produce in a day ?,HowTo
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,Fact
"What woman has carried the most multiple births , twins , triplets , etc. , ?",Fact
How many minutes were there on the original GE College Bowl clock ?,HowTo
What is the average time it takes for a male to ejaculate ?,Fact
What is website of the International Court of Justice ?,Fact
Where are 8 of the 10 highest mountains in the world ?,Fact
Where can I look at a perpetual calendar ?,Fact
How many astronauts have been on the moon ?,HowTo
In what year did the Bounty mutiny happen ?,Fact
What is the only substance that gives food its `` taste '' when eaten ?,Fact
How do you reference a website ?,HowTo
What is pandoro ?,Definition
What do the letters ZIP stand for in the phrase `` ZIP code '' ?,Definition
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,Fact
What is one of the cities that the University of Minnesota is located in ?,Fact
What are the words to `` My Way '' written by Paul Anka ?,Definition
How do I install a tile floor ?,HowTo
What is the quickest and easiest way to get nail polish out of clothes ?,Fact
Why was the zipper invented ?,Reason
What 's the No. 1 killer in industrialized countries ?,Fact
Name four famous cartoon cats .,Fact
What daughter of Henry VIII and Anne Boleyn became queen of England ?,Fact
How did ` stat ' come to be used as an expression for quickly ?,HowTo
What 's the most common nickname of U.S. college football teams ?,Fact
What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,Definition
What is the most useful site on the Internet ?,Fact
What is the world 's highest peak ?,Fact
What was a Mae West on a World War II battleship ?,Definition
Define cosmology .,Definition
What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,Fact
What are amicable numbers ?,Definition
When were the Olympic Games in which Nadia Comaneci became popular played ?,Fact
"Where is Hearst Castle , built by publisher William Randolph Hearst ?",Fact
What 's the largest U.S. city on the Great Lakes ?,Fact
Who sang about Desmond and Molly Jones ?,Fact
"What magazine gives us the cream , not the skim ?",Fact
What does the technique called `` cold fusion '' produce ?,Fact
What costume designer decided that Michael Jackson should only wear one glove ?,Fact
"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",Fact
How many rows of sprocket holes does a roll of 35-millimeter film have ?,HowTo
What is the goat population of the world ?,Fact
What company was the original sponsor of TV 's Superman ?,Fact
What term does a Czech use to describe a Pole ?,Fact
What sea separates Naples and Algiers ?,Fact
How many lawyers are there in the state of New Jersey ?,HowTo
What are the most common elements in seawater ?,Fact
Describe the Finnish music personality Salonen 's appearance .,Definition
What is the origin of the ethnic category `` caucasian '' ?,Definition
What is a stratocaster ?,Definition
What kind of science is cosmology ?,Fact
Name the blind sculptress in love with the Fantastic Four 's Thing .,Fact
What 's the second-lightest element ?,Fact
What do you call a `` twirl '' in ballet ?,Fact
What is the brand name of daminozide ?,Fact
What is the former name of Zimbabwe ?,Fact
What National Basketball Association superstar told his story in Giant Steps ?,Fact
What animals did The Amazing Three masquerade as ?,Fact
How did the bikini bathing suite get its name ?,HowTo
When did Fraze get his first patent for the pull-tab can ?,Fact
How many games are played in a five-team round-robin tournament ?,HowTo
Who developed the first polio vaccine ?,Fact
Who made the first gas engine ?,Fact
"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",Fact
What civil war was fought between 1936 and 1939 ?,Fact
How many questions do you have on your database ?,HowTo
How do clouds form ?,HowTo
Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,Fact
What character did Tex Avery first create upon arriving at MGM ?,Fact
When was the Triangle Shirtwaist fire ?,Fact
What Asian spiritual and political leader was married at the age of 13 ?,Fact
Where is Ocho Rios ?,Fact
What is the half-life of P-32 ?,Definition
What ocean does Mauritania border ?,Fact
Why do pressure cookers save time in the kitchen ?,Reason
Why are there 12 people on a jury in criminal cases ?,Reason
What do Christian Scientists believe in ?,Definition
"What World War I battle saw 6 , 0 troops killed in one day ?",Fact
What country is Kosovo a part of ?,Fact
Tell me what city the Kentucky Horse Park is near ?,Fact
What computer operating system is on the most computers ?,Fact
What is Bill Gross 's email address ?,Fact
What is the economic impact of unemployment on the economy ?,Definition
"What do the letters D.C. stand for in Washington , D.C. ?",Definition
What animals can live the longest without food ?,Fact
What English queen had seventeen children ?,Fact
"What is the approximate population of Las Vegas , N.M ?",Fact
How much does the President get paid ?,HowTo
What two baseball players make up the battery ?,Fact
What 's the largest letter in Salvador Dali 's signature ?,Fact
What does an irate car owner call iron oxide ?,Fact
"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",Fact
What 's the northernmost U.S. state apart from Alaska ?,Fact
Name an art gallery in New York .,Fact
Who sells Viagra ?,Fact
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,Fact
What is the Home Rule Act ?,Definition
What building are British monarchs crowned in ?,Fact
What are Bellworts ?,Definition
Who was Darius ?,Fact
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,Fact
Who did Dita Beard work for ?,Fact
What kind of creature is a coot ?,Fact
Name the university of which Woodrow Wilson was president .,Fact
"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",Fact
What university was Woodrow Wilson President of ?,Fact
What is a fear of disease ?,Fact
What kind of meat is Fray Bentos synonymous with ?,Fact
What did Mr. Magoo flog on TV for General Electric ?,Fact
What are the words to the Canadian National anthem ?,Definition
What is the name of the Jewish alphabet ?,Fact
Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,Fact
What is Columbia Tristar 's phone number ?,Fact
Name the five positions who are in the line of succession to the presidency .,Fact
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,Fact
Who is the best known villain of the 165 Gunpowder Plot ?,Fact
What is the capital of Burkina Faso ?,Fact
What continent is Bolivia on ?,Fact
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,Reason
"Who killed more people , Hitler or Stalin ?",Fact
What caused Shea & Gould to close their L.A. office ?,Definition
What 's the only mammal that can 't jump ?,Fact
What U.S. state has the most blondes ?,Fact
What war saw battles at Parrot 's Beak and Black Virgin ?,Fact
What was the U.S. highway death toll in 1969 ?,Fact
What does the name Kelly mean ?,Definition
What is a phalanx ?,Definition
What mustachioed comedian portrayed Frankie in North to Alaska ?,Fact
What does each of the utilities cost in Monopoly ?,Fact
"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",Fact
What does e.g. stand for ?,Definition
What is the name of the medical condition in which a baby is born without a brain ?,Fact
How do storms form ?,HowTo
Who is Nicolo Paganini ?,Fact
What city is often called The Insurance Capital of the World ?,Fact
What are the three animals in Sheila Burnford 's The Incredible Journey ?,Fact
Who portrayed Dracula in Hammer Studios ' films ?,Fact
Name one of the Seven Wonders of the Ancient World .,Fact
When were fish first believed to be found on earth ?,Fact
"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",Fact
How many elevators do you ride to reach the top floor of the Empire State Building ?,HowTo
Name the food company that traveled to Soviet Georgia to film a series of ads .,Fact
What country was Sir Edmund Hillary born in ?,Fact
What 's an infant seal called ?,Fact
"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?",Definition
What city was John F. Kennedy nominated for president in ?,Fact
How long does a dog sleep ?,HowTo
What 1963 Joseph L. Mankiewicz film cost $28 million ?,Fact
What Japanese electronics company was named for a coastal city northeast of Tokyo ?,Fact
What can you be fined for having a dog on a beach ?,Fact
Where did the Battle of the Bulge take place ?,Fact
How much will the California be in the year 2000 ?,HowTo
"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",Fact
What state full of milk and honey was the destination in The Grapes of Wrath ?,Fact
What is the tallest building in Japan ?,Fact
Where is Sinn Fein 's headquarters ?,Fact
Name Li 'l Abner 's favorite Indian drink .,Fact
What are some important events of the 1830 's ?,Fact
The Iraqis launched their attack on Kuwait on what day ?,Fact
What letter adorns the flag of Rwanda ?,Fact
"What did 8 , CD NNS VBP TO VB NNP POS NN .",Fact
What is God ?,Definition
What country 's northernmost city is Darwin ?,Fact
"What sound does Olympia , Washington , overlook ?",Fact
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,Fact
What Kentucky city calls itself The Horse Center of America ?,Fact
How many penny-farthings are there on a Trivial Pursuit game board ?,HowTo
What 's the most abundant element in the sun ?,Fact
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",Fact
What U.S. state is Dixville Notch in ?,Fact
"Where was the Cisalpine Republic , 1797-185 , ?",Fact
What is the largest shopping mall in the world ?,Fact
What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,Fact
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,Fact
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,Fact
What is a meerkat ?,Definition
Who was Jean Nicolet ?,Fact
What kind of animal was Winnie the Pooh ?,Fact
Which of these are authors ?,Fact
What 's the international radio code word for the letter B ?,Fact
Who was the original Humpty Dumpty ?,Fact
What is cache memory ?,Definition
Aspartame is also known as what ?,Fact
Where is the location of the Orange Bowl ?,Fact
When is President Nixon 's birthday ?,Fact
"What is the origin of the midwest slang , ` you 're darn tootin ' ?",Definition
Whose cupboard was bare ?,Fact
What are the seven seas ?,Fact
What does IBM stand for ?,Definition
What is the difference between jazz and blues ?,Comparison
What is the C programming language ?,Definition
What 's the name of Popeye 's adopted son ?,Fact
Who invented the vacuum cleaner ?,Fact
What is a ` borrow pit ' ?,Definition
What 2th-century fictional character attends Pencey Prep School ?,Fact
How many people in the USA say their number one source of information is the newspaper ?,HowTo
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?",Fact
Which country is known as `` Big Bear '' ?,Fact
"What `` melts in your mouth , not in your hands '' .",Fact
How many times a day should you take a prescription marked `` q.i.d . '' ?,HowTo
What is the origin of the atom ?,Definition
Who is the Voyager project manager ?,Fact
Which radio stations air the Jim Bohannon Radio Talk Show ?,Fact
What two commanders directed the forces in the Battle of El Alamein ?,Fact
Name the creator of `` The Muppets '' .,Fact
How do I e-mail someone at aol.com from yahoo.com ?,HowTo
Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?,Fact
What is the meaning of the name Ella ?,Definition
What 's the home of the Rockettes ?,Fact
"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?",Fact
What is the name of the firm that makes Spumante ?,Fact
What sport is played on the largest field ?,Fact
Who won the 1967 Academy Award for Best Actor ?,Fact
What is after death ?,Fact
Name the first private citizen to fly in space .,Fact
What was football star Elroy Hirsch 's nickname ?,Fact
What singer sings `` Oh Boy '' ?,Fact
How much pizza do Americans eat in a day ?,HowTo
What is the website for the USA journal ?,Fact
What army 's motto is Blood and Fire ?,Fact
What kind of patent did Ermal Fraze get in 1963 ?,Fact
What are you hearing when you put a seashell to your ear ?,Definition
Why are haunted houses popular ?,Reason
Which gender has bigger thighs ?,Fact
What U.S. state has the second-longest coastline ?,Fact
What state 's home to the Buffalo Bill Historical Center ?,Fact
How fast do cheetahs run ?,HowTo
What is Ray Bradbury 's illustrated man illustrated with ?,Fact
How fast is a 45Mhz processor ?,HowTo
"What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?",Fact
What count did Alexandre Dumas write about ?,Fact
What are the odds of giving birth to twins ?,Fact
What is the largest natural lake in Pennsylvania ?,Fact
How far is London UK from California ?,HowTo
Name the two mystical ravens Odin has at his command .,Fact
What was the species of Winnie the Pooh ?,Fact
What is the virus HIV ?,Definition
How many years old is Benny Carter ?,HowTo
What Hermann Hesse book gave its name to a rock group ?,Fact
Where does the Santa Fe Trail begin and end ?,Fact
What book is the follow-up to Future Shock ?,Fact
What African animals are known as The Big Five ?,Fact
What is the alphabet for Latin ?,Fact
What is the fear of frogs ?,Fact
Which city in Canada is the least-populated ?,Fact
How old is Stevie Wonder ?,HowTo
Who was the first Taiwanese President ?,Fact
Who is Luke Skywalker 's father ?,Fact
What does a dipsomaniac crave ?,Fact
What is the definition of the term `` weapons system '' ?,Definition
What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,Definition
What is Nero Wolfe 's favorite drink during office hours ?,Fact
What is the first personal computer company ?,Fact
What is the most efficient way to start a barbeque ?,Fact
Who was Jane Goodall ?,Fact
Why are there Braille things on the ATM machines that people drive through ?,Reason
Where is the Isle of Man ?,Fact
What book did Aaron Hass write ?,Fact
What was the death toll at the eruption of Mount Pinatubo ?,Fact
When will the millennium officially begin ?,Fact
"Who created the comic strip , `` Garfield '' ?",Fact
Which Vietnamese terrorist is now a UN delegate in Doonesbury ?,Fact
What is real time processing ?,Definition
What do we call the imaginary line along the top of the Rocky Mountains ?,Fact
What country 's capital is Lagos ?,Fact
Where does Ray Bradbury 's Chronicles take place ?,Fact
Who is the current prime minister and president of Russia ?,Fact
Who established a Viking colony in Greenland about 985 ?,Fact
What was the distinguishing mark on the `` Little Rascals '' dog ?,Fact
"What is the latitude and longitude of El Paso , Texas ?",Fact
Where can I get information about cystic fibrosis ?,Fact
Where did Honecker rule ?,Fact
What is the theory of equivalence states ?,Definition
What does a philatelist collect ?,Fact
What is the life span of the average monkey ?,Fact
